id,title,author,year
1094,Noite Futuro O Mistério Sonho,Leticia Cardoso,2015,
1095,Esperança Sombra Árvore Mar Sombra,Luiza Amaral,2020,
1096,Árvore Vento Passado,Caio Araujo,2012,
1097,Sonho Mar Cidade Tempo Sonho,Rodrigo Almeida,2015,
1098,Futuro O Passado Passado,Josué Silva,2018,
1099,Passado Tempo Mistério Amor,Eduardo Rocha,2013,
1100,Destino Passado Esperança Sombra,Luiza Santos,2016,
1101,Vida Mar,Ayrton Araujo,2015,
1102,Passado Casa Futuro A Passado,Lucas Costa,2021,
1103,Casa Passado Esperança Vida Vento,Caio Moreira,2017,
1104,Silêncio Futuro Tempo Vento,Rafael Rocha,2020,
1105,Noite O Sonho Cidade,Cleber Simas,2011,
1106,Cidade Mar Vento,Ana Luiza Mendes,2018,
1107,Luz Silêncio Futuro O Passado,Ana Luiza Melo,2021,
1108,Casa Noite,Amanda Solano,2010,
1109,Árvore Luz,Ana Pereira,2016,
1110,Amor Amor,Cristiano Mendes,2018,
1111,Sombra Vida,Josué Ferreira,2012,
1112,Tempo Árvore Tempo Passado,Rodrigo Moreira,2013,
1113,Destino A Tempo,Patricia Amaral,2020,
1114,A Mar Noite Sonho Futuro,Eduarda Araujo,2012,
1115,Destino Mistério,Eduarda Alves,2013,
1116,O Passado Noite Destino,Nayara Costa,2020,
1117,Luz Mistério Amor Árvore O,Natália Rocha,2016,
1118,Vento Mar O,Bruno Ferreira,2010,
1119,Sombra Vida,Nayara Ferreira,2016,
1120,Noite Vento Cidade Casa Silêncio,Ana Luiza Faleiros,2019,
1121,Amor A A Tempo,Maria Rezende,2012,
1122,Árvore O,Carlos Souza,2016,
1123,Sombra Árvore Destino Destino,Ayrton Costa,2019,
1124,Destino Luz Sombra,Hugo Moreira,2016,
1125,Vento Sombra Silêncio Silêncio,Carlos Souza,2012,
1126,Luz Cidade Noite Sombra Noite,Arthur Nunes,2022,
1127,Futuro Sonho Amor Mistério,Caio Barbosa,2013,
1128,Luz Tempo Vida,Camila Rezende,2010,
1129,Vento Sombra Amor Cidade,Caio Santos,2020,
1130,Vida Noite Mistério Amor,Carlos Barbosa,2021,
1131,A Amor Casa,Gabriel Alves,2017,
1132,Luz Tempo Esperança Amor Passado,Vitor Araujo,2014,
1133,O Cidade Mistério,Eduardo Lima,2018,
1134,Amor Casa Destino Futuro Passado,Fabricio Simas,2018,
1135,Sonho Luz O,João Costa,2015,
1136,Destino Sonho,Patricia Melo,2021,
1137,Tempo Casa Árvore O,Paloma Lima,2010,
1138,Futuro Sombra Vento,Mateus Oliveira,2022,
1139,Vento Sonho,Rafael Mendes,2022,
1140,Sombra Vento Silêncio Silêncio,Mateus Barbosa,2019,
1141,Passado Noite Cidade,David Oliveira,2014,
1142,Sonho Luz Tempo,Cristiano Nunes,2017,
1143,Vida Luz Sombra,Carlos Costa,2020,
1144,Vento Mar Vida A Futuro,Rafael Almeida,2020,
1145,Mar Mistério Noite Esperança Mar,Ronaldo Martins,2021,
1146,Árvore Mar Futuro,Camila Martins,2014,
1147,Vento Passado Cidade Silêncio Amor,Rafael Martins,2014,
1148,Sonho Vento Árvore Casa,Ronaldo Costa,2019,
1149,Esperança Mistério Sonho,Bruna Simas,2014,
1150,Esperança Mar Cidade Futuro Futuro,Luan Pinto,2022,
1151,Passado Cidade,Gabriel Santos,2015,
1152,Futuro Silêncio Mar,Luiza Ribeiro,2019,
1153,Casa Tempo Sombra Silêncio,Carlos Rocha,2014,
1154,Mistério Mar Sonho Luz,Hugo Lima,2014,
1155,Tempo Mar Passado,Gustavo Gomes,2015,
1156,Cidade Esperança Sonho,Cleber Nunes,2021,
1157,Passado Sombra Esperança Destino,Julia Lima,2015,
1158,Passado Mar Destino,Felipe Pinto,2022,
1159,Silêncio Futuro Luz Noite Passado,Felippe Souza,2013,
1160,A Vida Silêncio Futuro Luz,Carlos Rocha,2015,
1161,Passado Amor,Fabricio Silva,2012,
1162,Cidade Vento Tempo Sonho,Camila Faleiros,2014,
1163,Cidade Árvore Luz Árvore Destino,Leticia Martins,2016,
1164,Casa Amor A O Luz,Gabriel Moraes,2010,
1165,Silêncio Luz Passado Passado Vento,Mateus Gomes,2020,
1166,Árvore Sombra Esperança Passado Silêncio,Lucas Moreira,2010,
1167,Vento A Cidade Amor,Gustavo Simas,2010,
1168,Casa Sonho Mar Sonho Esperança,Leticia Arrascaeta,2014,
1169,Esperança Vida,Arthur Silva,2019,
1170,Árvore Esperança,Paloma Martins,2014,
1171,Esperança Árvore Silêncio Mistério,Fernanda Simas,2013,
1172,Tempo Mar Noite Árvore,Cristiano Melo,2011,
1173,Casa Casa Amor Vento,Davi Martins,2010,
1174,Passado Esperança Silêncio,Luan Alves,2012,
1175,Sombra O Esperança Vento,Arthur Saigg,2015,
1176,A Sombra O Mar Tempo,Mateus Freitas,2012,
1177,Destino Árvore Mar Passado Destino,Cleber Oliveira,2021,
1178,Mistério Mistério Vida Tempo,Carlos Rocha,2011,
1179,Casa Vento Mistério Luz Mar,Cristiano Lima,2019,
1180,Esperança Vida,Ayrton Oliveira,2021,
1181,O Destino,Marcelo Arrascaeta,2019,
1182,A Casa Mar,Lucas Saigg,2017,
1183,Passado Sonho Passado,Leonardo Costa,2018,
1184,Casa Sombra Vida,Hugo Alves,2016,
1185,Casa Casa Árvore,Bruna Moraes,2019,
1186,Esperança Silêncio Silêncio Casa,Cristiano Martins,2019,
1187,Amor Sombra Amor Sonho Vento,Eduarda Guedes,2019,
1188,Silêncio Tempo Destino,Lucas Melo,2011,
1189,Vento Sombra Mistério Sombra Tempo,Paolla Moraes,2014,
1190,Mar Destino,Daniela Amaral,2017,
1191,Tempo Luz Noite,Cleber Rocha,2013,
1192,Vida Árvore Vento Sombra Noite,Rafael Santoro,2015,
1193,A Cidade Futuro,Ana Luiza Araujo,2016,
1194,Cidade Vento Futuro Sonho,Cleber Moraes,2010,
1195,Mistério Luz Sonho Mistério O,Gabriel Guedes,2020,
1196,Amor Amor,Luisa Silva,2011,
1197,Cidade Sonho Futuro,Amanda Freitas,2021,
1198,Esperança Mistério,Nayara Saigg,2020,
1199,Cidade Destino Tempo,Gabriel Costa,2015,
1200,Vida Vida Passado,Patricia Arrascaeta,2022,
1201,Futuro Esperança Mar,Ana Ribeiro,2015,
1202,O Passado,Artur Martins,2019,
1203,Vida Mar Casa Amor Passado,Bruna Amaral,2021,
1204,Destino Passado,Patricia Santos,2010,
1205,Mistério Casa Luz,Eduardo Moraes,2017,
1206,Tempo Esperança,Cristiano Santos,2012,
1207,O Sonho Sonho Vento Vida,Paolla Costa,2019,
1208,Luz Vida Noite,Rafael Melo,2021,
1209,Futuro Árvore,Hugo Amaral,2015,
1210,A Luz A,Arthur Saigg,2011,
1211,Passado Árvore,Josué Araujo,2018,
1212,O Vento,Arthur Rocha,2020,
1213,Vento Sonho A Esperança,Ayrton Souza,2012,
1214,Vento Árvore Mar,Paloma Alves,2013,
1215,Passado Sonho Tempo Luz O,Rafael Solano,2021,
1216,Futuro Destino Amor Vida Futuro,Marcelo Carvalho,2011,
1217,Silêncio Vento Amor Tempo,David Barbosa,2013,
1218,Sonho Vida Noite,Ana Luiza Santos,2018,
1219,Vento O Amor Mar Mar,Pedro Araujo,2012,
1220,Mar Cidade Tempo Vida,Felipe Silva,2011,
1221,Vento Silêncio Destino Tempo Vida,João Rocha,2017,
1222,Mar Casa Noite Vida A,Rodrigo Souza,2020,
1223,Futuro Luz Mistério Noite,Mateus Amaral,2014,
1224,Sombra Vento Sombra Passado Silêncio,Rodrigo Costa,2018,
1225,Futuro Vento Futuro Sonho,Felipe Cruz,2014,
1226,Vida Casa O Destino,Eduarda Lima,2012,
1227,Mar Árvore,Ayrton Melo,2014,
1228,Tempo Mistério O Árvore O,Lucas Lima,2010,
1229,Cidade Sonho Árvore Mar Árvore,Luiza Costa,2016,
1230,Tempo Noite Casa Mistério Cidade,Fabricio Rocha,2021,
1231,Casa Futuro Mar Futuro,Leticia Pinto,2018,
1232,Silêncio Futuro Amor Sonho,Camila Costa,2018,
1233,Noite Vento Sonho,Eduarda Moraes,2013,
1234,Noite Passado,Rafael Santos,2013,
1235,Silêncio Tempo Noite Amor O,Artur Moraes,2022,
1236,Casa Sonho Amor Árvore Silêncio,Luisa Pinto,2010,
1237,Amor Tempo,Carlos Faleiros,2017,
1238,Silêncio Mistério Mar Vida,Luisa Rocha,2013,
1239,Vida Mar Mar O Casa,Gabriel Faleiros,2010,
1240,Noite A Destino Amor O,Patricia Souza,2015,
1241,Passado Tempo Árvore,Bruna Freitas,2018,
1242,Vento Destino Noite Silêncio Passado,Ayrton Souza,2014,
1243,Amor Cidade,Eduarda Guedes,2019,
1244,Esperança Noite,Maria Araujo,2014,
1245,Árvore O Sonho Sonho Destino,Lucas Barbosa,2011,
1246,Noite Tempo Silêncio Casa,Amanda Nunes,2022,
1247,Noite Noite Vida Futuro,Gabriel Santoro,2020,
1248,Vida Casa Mistério Amor Destino,Cristiano Lima,2021,
1249,Cidade A Cidade Mistério Cidade,Camila Souza,2015,
1250,Tempo Esperança O Futuro Luz,Natália Nunes,2012,
1251,Casa Vida Destino,Eduardo Souza,2020,
1252,O Futuro Futuro,Ronaldo Lima,2014,
1253,Destino Luz Destino Esperança Tempo,Eduarda Nunes,2013,
1254,Casa Luz Sombra Luz Cidade,Felippe Pereira,2012,
1255,Vida Casa,Thiago Nunes,2018,
1256,Árvore Futuro Passado,Camila Silva,2021,
1257,Vida Luz Mar Sonho,Josué Martins,2017,
1258,Cidade Mistério Silêncio Noite,Camila Costa,2019,
1259,Vento Mar Vida Árvore,Ana Solano,2022,
1260,O Casa Árvore,Josué Saigg,2015,
1261,Noite Amor Amor Silêncio Cidade,Ana Silva,2011,
1262,O Vento,Vitor Cardoso,2014,
1263,Mar Vento Esperança Passado Vida,Luan Santos,2015,
1264,Árvore Futuro Árvore Árvore,Luiza Gomes,2017,
1265,Silêncio Tempo Silêncio Passado,Rodrigo Silva,2020,
1266,A Futuro Destino Passado,Vitor Moreira,2018,
1267,Mar A Cidade,Leonardo Martins,2012,
1268,Sonho Silêncio Sonho Futuro,David Silva,2014,
1269,Passado Noite Tempo,Lucas Santos,2022,
1270,Vento Cidade Sonho Esperança,Gustavo Cardoso,2011,
1271,Amor Amor Vento Vida,Hugo Silva,2011,
1272,Sombra Silêncio Casa A,Gabriel Ferreira,2010,
1273,Vida Mar Esperança Esperança A,Luisa Melo,2018,
1274,Sonho Silêncio Futuro Luz Silêncio,Ronaldo Simas,2014,
1275,Sombra Árvore,Ayrton Melo,2013,
1276,Mistério Passado Árvore Silêncio Árvore,Paloma Martins,2013,
1277,Passado Tempo Vento Esperança Amor,Ana Luiza Araujo,2013,
1278,Mistério Noite Mistério Silêncio Destino,Paloma Carvalho,2016,
1279,Luz Luz,Gabriel Souza,2013,
1280,Futuro Vento O Cidade Futuro,Bruna Alves,2016,
1281,Vida Vida A,Eduarda Mendes,2010,
1282,Cidade O,David Freitas,2019,
1283,Cidade Sonho Mistério,Davi Costa,2017,
1284,Passado Vida Cidade,Lucas Moraes,2014,
1285,Mistério Mar Sonho,Thiago Gomes,2018,
1286,Amor Futuro Passado,Marcelo Arrascaeta,2020,
1287,Casa Silêncio Luz Tempo Tempo,Lucas Carvalho,2013,
1288,Mar Mar,Paolla Cruz,2010,
1289,O Luz Mistério Cidade Amor,Camila Faleiros,2010,
1290,Casa Cidade Noite A,Eduardo Arrascaeta,2011,
1291,Mistério O,Eduarda Pereira,2022,
1292,Luz Casa,Eduarda Araujo,2018,
1293,A Mistério Esperança Destino Vida,Davi Saigg,2012,
1294,Vento Vento Esperança,Natália Moreira,2010,
1295,Esperança Tempo,Gabriel Cardoso,2013,
1296,Sonho Esperança A,Maria Nunes,2017,
1297,O Destino Árvore Noite,Cleber Barbosa,2022,
1298,Noite Sombra,Bruno Martins,2010,
1299,Sombra Silêncio Cidade A Noite,Luiza Gomes,2012,
1300,Sombra A Sonho A,Eduardo Simas,2015,
1301,Vento Sonho Sombra,Patricia Simas,2018,
1302,Sonho Luz Tempo,Mateus Cruz,2021,
1303,A Casa Sombra Árvore,Eduarda Rezende,2011,
1304,Luz Esperança Luz Sombra,Daniela Carvalho,2017,
1305,Mistério Mistério Vida,Josué Araujo,2018,
1306,Tempo O,Natália Araujo,2012,
1307,Vida O O Passado Cidade,Cristiano Pinto,2018,
1308,Tempo Mar Destino Árvore,Ronaldo Guedes,2019,
1309,Sombra Futuro,Maria Solano,2016,
1310,Passado Mar Sombra,Rafael Pereira,2011,
1311,Mar Sombra Passado,Eduarda Pereira,2011,
1312,Sonho Amor Mistério Sonho,Leonardo Souza,2016,
1313,Destino Árvore Futuro,Thiago Amaral,2019,
1314,Noite O Amor,Maria Rezende,2014,
1315,Futuro Esperança Vida,Carlos Nunes,2016,
1316,Silêncio Luz Tempo Vento Esperança,Josué Lima,2010,
1317,O Esperança A Silêncio Esperança,Ana Arrascaeta,2015,
1318,Mar Casa Mar,Davi Simas,2010,
1319,Destino Amor,Lucas Pereira,2021,
1320,Tempo A,Artur Santos,2021,
1321,Passado Tempo Esperança Destino,Carlos Saigg,2015,
1322,Sonho Casa A,Luisa Solano,2017,
1323,Futuro Amor,Bruna Cruz,2018,
1324,Vento Tempo Silêncio Árvore,Bruna Guedes,2013,
1325,A Sombra Passado,Fabricio Nunes,2019,
1326,Esperança Mistério,Fernanda Faleiros,2020,
1327,Esperança Cidade Tempo Mistério,Daniela Araujo,2010,
1328,Amor Amor Casa,Rodrigo Amaral,2013,
1329,Mar Sonho Destino Noite Destino,Paloma Nunes,2018,
1330,Mistério Árvore Vida Vento Sombra,David Pinto,2011,
1331,Sombra O Vento Luz,Bruno Souza,2014,
1332,Esperança Vento Mar Destino,Luiza Alves,2019,
1333,Destino Sombra Noite Futuro,Davi Guedes,2012,
1334,Silêncio Noite,Paolla Araujo,2014,
1335,Esperança O O,Eduardo Martins,2016,
1336,Passado Futuro,Mateus Moreira,2016,
1337,Mistério Amor Árvore Vida Casa,João Rocha,2022,
1338,Amor Mar,Leonardo Lima,2020,
1339,Noite Cidade A Sonho Futuro,Cleber Moreira,2021,
1340,O Vida Futuro,Nayara Gomes,2010,
1341,Cidade Mistério Tempo Luz,Ronaldo Lima,2022,
1342,Sombra Passado Amor,Fabricio Cruz,2013,
1343,O Passado Vida,Ronaldo Souza,2012,
1344,Mistério Passado Luz Sombra,Rafael Arrascaeta,2019,
1345,Vento Destino Destino A Passado,David Silva,2020,
1346,Árvore Tempo Passado Sombra Sonho,Fernanda Silva,2010,
1347,Vento Destino Cidade Mar Casa,Gabriel Martins,2014,
1348,Sombra Mistério Amor,Ronaldo Solano,2012,
1349,A Cidade,Ana Solano,2016,
1350,Sonho Cidade,Thiago Lima,2017,
1351,Passado Casa Silêncio,Luan Santos,2020,
1352,Amor Silêncio Esperança,Leonardo Moraes,2015,
1353,Silêncio Árvore Mar Futuro,Gabriel Simas,2021,
1354,Sombra Sonho Passado Noite Noite,Josué Araujo,2010,
1355,Sombra Destino O Amor,David Melo,2020,
1356,Amor Noite Cidade Silêncio Vida,Luiza Lima,2016,
1357,Mistério Silêncio Mistério Esperança,Rafael Arrascaeta,2012,
1358,Tempo Tempo Mar Esperança A,Daniela Melo,2015,
1359,Árvore Árvore,Ronaldo Moreira,2016,
1360,Amor Casa Mistério,Ana Solano,2018,
1361,Vida Tempo,Fernanda Simas,2011,
1362,Noite Noite,Julia Nunes,2020,
1363,Mar Passado Amor Sombra,Natália Saigg,2019,
1364,Árvore Passado Cidade Vida,Luiza Pinto,2012,
1365,Mar Vida Mistério Casa Cidade,Luisa Santoro,2021,
1366,Noite Vento Vida,Luan Nunes,2021,
1367,Passado Mistério Luz Mar A,Josué Martins,2013,
1368,Árvore Sonho Destino,Natália Costa,2015,
1369,Amor Vida Passado Passado,Rafael Faleiros,2018,
1370,A Destino Passado Árvore,David Lima,2015,
1371,Vida Destino,Mateus Souza,2020,
1372,A Cidade,Luiza Mendes,2021,
1373,Sonho Vida Noite,Fernanda Solano,2018,
1374,O Casa Sombra Casa Silêncio,João Saigg,2016,
1375,Silêncio Casa,Thiago Souza,2013,
1376,Casa Mar Sombra Luz,João Costa,2022,
1377,Amor Sonho Casa Passado Tempo,Ana Arrascaeta,2013,
1378,Sombra Vida Vida O Amor,Cleber Pinto,2017,
1379,Luz Futuro A Mar,Thiago Moraes,2013,
1380,Cidade Tempo Sombra Vento Tempo,Cleber Oliveira,2021,
1381,Vento Luz Mistério A Silêncio,João Moreira,2014,
1382,Sonho Árvore Casa,Cristiano Cardoso,2012,
1383,Vento Amor,Rodrigo Araujo,2011,
1384,Luz O,João Faleiros,2011,
1385,Esperança Destino Futuro,Gabriel Nunes,2010,
1386,Silêncio O,Leticia Santos,2021,
1387,Silêncio Passado,Cristiano Cruz,2017,
1388,O O,Paloma Santos,2016,
1389,Futuro Vida Esperança Casa,David Santos,2014,
1390,Futuro Tempo Mistério,Eduardo Freitas,2018,
1391,Passado Vida,Eduarda Costa,2021,
1392,Futuro O A,Hugo Lima,2019,
1393,Vida Futuro Mar Árvore,Cleber Alves,2020,
1394,Vento A,Gabriel Moraes,2022,
1395,Casa Amor Vento Destino,Felipe Amaral,2015,
1396,Noite Casa Casa Vida,Eduarda Freitas,2013,
1397,Passado Esperança A,Julia Barbosa,2011,
1398,Sombra Mar,Natália Pereira,2012,
1399,Silêncio Luz Sombra Vento,Leonardo Faleiros,2018,
1400,Luz Esperança Sonho,Natália Araujo,2015,
1401,Árvore Árvore,Lucas Carvalho,2022,
1402,Mar O Tempo Silêncio,Maria Santoro,2016,
1403,Passado Passado Sonho Silêncio Noite,Hugo Lima,2014,
1404,Passado Noite Mistério Noite,Caio Solano,2015,
1405,Sonho Tempo,Rafael Saigg,2019,
1406,Árvore Mar,Ayrton Costa,2011,
1407,Sombra Destino O Esperança Árvore,Cleber Pinto,2013,
1408,Cidade Sonho,Paloma Mendes,2015,
1409,Mar Amor Árvore,Lucas Silva,2012,
1410,Sonho Futuro Noite,Patricia Souza,2010,
1411,Cidade Vida,Chris Ferreira,2010,
1412,Vento Casa Casa,Chris Araujo,2021,
1413,Vento Futuro,Lucas Costa,2020,
1414,Futuro Cidade Mistério Silêncio Cidade,David Nunes,2016,
1415,O Esperança Cidade Vento,Josué Solano,2020,
1416,Sonho Mistério Noite,Artur Lima,2016,
1417,Luz Futuro Casa,Rafael Lima,2012,
1418,Luz Árvore Sonho Luz Vida,Marcelo Mendes,2018,
1419,Casa Destino A,Maria Lima,2018,
1420,Sombra Vida,Felipe Saigg,2020,
1421,Silêncio Amor Luz Tempo,Nayara Barbosa,2014,
1422,Árvore A,Rodrigo Araujo,2011,
1423,Esperança Cidade Vida,Fabricio Gomes,2022,
1424,Luz Passado Vento Tempo Passado,Thiago Costa,2014,
1425,A Vida Amor,Rodrigo Ferreira,2015,
1426,Vento Vida,Luiza Arrascaeta,2013,
1427,Luz A,Ronaldo Cardoso,2015,
1428,Esperança Passado Destino Mistério,Luiza Souza,2015,
1429,Luz Sonho Mistério,Carlos Nunes,2010,
1430,Destino Vento,Felipe Lima,2019,
1431,Vida Vento Luz Passado Tempo,Ana Rezende,2016,
1432,Destino Noite Sombra Silêncio,Pedro Lima,2013,
1433,Mar Silêncio,Lucas Moraes,2017,
1434,Futuro Futuro Árvore,Rafael Amaral,2014,
1435,Tempo Destino Sombra Mistério Sonho,Maria Faleiros,2020,
1436,O Mar,Ronaldo Carvalho,2016,
1437,Silêncio Vento Mistério Silêncio Vida,Fernanda Carvalho,2014,
1438,Tempo A Mar Esperança,David Alves,2010,
1439,Noite Vida,Pedro Freitas,2015,
1440,Vento Casa,Marcelo Amaral,2017,
1441,Mistério Vento Mistério Luz Passado,Luan Guedes,2016,
1442,Esperança Tempo,Carlos Lima,2021,
1443,Sombra Passado,Chris Araujo,2010,
1444,Vida Sonho Cidade,Paloma Araujo,2011,
1445,A Silêncio Passado,Vitor Araujo,2010,
1446,O Amor Sombra,Daniela Barbosa,2012,
1447,Noite Passado Casa,Hugo Arrascaeta,2011,
1448,Destino Árvore,Fabricio Saigg,2015,
1449,Passado Luz Vento Tempo Casa,Lucas Simas,2011,
1450,Luz Mar Árvore Silêncio,Cleber Mendes,2013,
1451,A Noite Cidade Vida Silêncio,Carlos Pereira,2010,
1452,Árvore Mar Mar Árvore Mar,Lucas Melo,2012,
1453,A Casa O,Gustavo Costa,2022,
1454,Casa Noite Luz Esperança,Lucas Guedes,2013,
1455,Vento Sonho O,Josué Amaral,2010,
1456,Árvore Vida Casa Futuro Cidade,Luisa Araujo,2012,
1457,Mar Sonho A,Lucas Ferreira,2020,
1458,Árvore Noite O Tempo,Ana Luiza Melo,2010,
1459,O Cidade Tempo O Vento,Maria Ferreira,2017,
1460,Destino Vida Vida Tempo Sonho,Leonardo Moraes,2013,
1461,Passado Sombra,Lucas Santos,2019,
1462,Noite Futuro Luz Esperança O,Hugo Oliveira,2016,
1463,Destino Futuro,Daniela Amaral,2013,
1464,Casa Mar Passado Silêncio A,Patricia Solano,2014,
1465,Vento Sombra O,Amanda Souza,2022,
1466,Mar Árvore Vento,Arthur Amaral,2017,
1467,Futuro A A Esperança Casa,Ana Luiza Moraes,2018,
1468,Esperança Vida Sonho Amor Amor,Felipe Moreira,2017,
1469,Passado Sombra A A,Leonardo Araujo,2012,
1470,Destino O,Camila Moraes,2014,
1471,Cidade Destino Sonho,Paolla Solano,2013,
1472,Destino Tempo Luz Casa,Gabriel Amaral,2011,
1473,A Vida Esperança,Bruna Costa,2017,
1474,A Sonho Mistério Esperança Vento,Pedro Silva,2019,
1475,Tempo Sonho,Thiago Costa,2019,
1476,Árvore Cidade,Rodrigo Cardoso,2012,
1477,Luz Mar Casa Cidade,Luiza Pinto,2012,
1478,Cidade Passado Esperança Destino Casa,Bruno Barbosa,2021,
1479,Passado Amor Árvore Casa,Nayara Martins,2013,
1480,Cidade Luz Amor Silêncio Mar,Natália Martins,2021,
1481,Amor Destino,Fernanda Oliveira,2012,
1482,Mar Futuro Casa Tempo Luz,Ayrton Guedes,2015,
1483,O Sonho Vida Passado,João Amaral,2019,
1484,Mistério Cidade Cidade Amor,Rafael Santos,2011,
1485,Mar Destino Futuro,Felippe Solano,2013,
1486,Silêncio Luz,Eduarda Saigg,2014,
1487,Casa Sombra Amor Casa Amor,Carlos Costa,2016,
1488,Passado Casa Sombra,Josué Souza,2012,
1489,Silêncio Cidade,Bruno Guedes,2014,
1490,Tempo Passado Luz Silêncio Esperança,Ana Cardoso,2012,
