"id","title","author","year"
180,"A Sensasional Mistério","Mônica Melo",2011
181,"A Novo Tesouro","Alice Pires",2011
182,"A Novo Mistério","Stella Gomes",2018
183,"A Pequeno Sonho","Alice Carvalho",2011
184,"O Segundo Segredo","Juliano Souza",2023
185,"O Quarto Filosofo","Nelson Batista",2022
186,"A Encontrado Amor","Rodrigo Vieira",2014
187,"O Grande Imperador","Isabela Coutinho",2016
188,"A Perdido Filosofo","Júlia Cavalcanti",2016
189,"A Primeiro Segredo","Elias Coutinho",2013
190,"A Terceiro Caminho","Viviane Rocha",2011
191,"A Quarto Mistério","Rebeca Almeida",2022
192,"A Grande Imperador","Isabela Moura",2023
193,"A Pequeno Segredo","Raul Ferreira",2011
194,"O Segundo Jogador","Tatiana Silva",2020
195,"O Pequeno Segredo","Nathalia Rodrigues",2021
196,"A Velho Mestre","Camila Moura",2018
197,"O Grande Destino","Simone Sampaio",2014
198,"O Encontrado Destino","Clarice Vieira",2010
199,"A Perdido Casa","Rodrigo Teixeira",2022
200,"A Encontrado Casa","Lucas Nunes",2013
201,"O Quarto Desafio","Débora Carvalho",2022
202,"A Pequeno Amor","Elias Marques",2021
203,"A Último Filosofo","Mônica Santos",2018
204,"O Terceiro Sonho","Alice Pires",2017
205,"O Segundo Destino","Ana Silva",2010
206,"O Novo Amor","Rafael Coutinho",2019
207,"A Sensasional Mestre","Gustavo Pereira",2022
208,"O Perdido Desafio","Maria Fonseca",2014
209,"A Encontrado Amor","José Teixeira",2012
210,"A Quarto Ditador","Guilherme Campos",2014
211,"A Velho Jogador","Rodrigo Pires",2022
212,"O Velho Mansao","Raquel Santos",2022
213,"A Último Tesouro","Luiza Medeiros",2022
214,"O Último Ditador","Cássio Neves",2019
215,"O Pequeno Mansao","André Dias",2015
216,"A Último Segredo","Helena Carvalho",2020
217,"O Último Mistério","Diogo Fonseca",2019
218,"O Último Mestre","Raul Cavalcanti",2015
219,"O Último Tesouro","Amanda Machado",2020
220,"O Terceiro Segredo","Rebeca Santos",2016
221,"A Encontrado Sonho","Guilherme Dias",2017
222,"O Velho Mestre","Júlia Monteiro",2016
223,"O Terceiro Imperador","Vitória Barros",2013
224,"A Segundo Tesouro","Beatriz Rodrigues",2018
225,"A Grande Mansao","Daniel Batista",2015
226,"O Primeiro Ditador","Viviane Oliveira",2010
227,"O Novo Casa","Rafaela Ribeiro",2015
228,"O Último Ditador","Eliane Borges",2017
229,"O Segundo Tesouro","Giovanna Vieira",2013
230,"A Segundo Médico","Marcelo Medeiros",2019
231,"O Pequeno Filosofo","Eliane Batista",2019
232,"O Segundo Médico","Bruno Santos",2020
233,"A Pequeno Mestre","Geraldo Cavalcanti",2012
234,"O Pequeno Tesouro","Marcos Leal",2010
235,"O Perdido Jogador","Bianca Santos",2010
236,"A Sensasional Mestre","Giovanna Souza",2019
237,"O Encontrado Jogador","Sérgio Melo",2015
238,"A Terceiro Filosofo","Otávio Lopes",2022
239,"O Perdido Ditador","Sandra Teixeira",2022
240,"A Quarto Imperador","Raquel Correia",2016
241,"A Quarto Ditador","Samuel Coutinho",2012
242,"A Perdido Filosofo","Fabrício Azevedo",2022
243,"O Primeiro Desafio","Leonardo Moura",2013
244,"O Pequeno Sonho","Nathalia Ribeiro",2011
245,"O Novo Segredo","Larissa Martins",2013
246,"O Sensasional Destino","Fernanda Souza",2017
247,"O Segundo Mestre","Marcela Cavalcanti",2017
248,"A Último Destino","Beatriz Araújo",2018
249,"O Velho Destino","Vanessa Costa",2011
250,"A Sensasional Tesouro","Ana Monteiro",2022
251,"A Último Médico","Davi Pires",2014
252,"A Quarto Tesouro","Paulo Ribeiro",2011
253,"O Último Amor","Roberta Nunes",2019
254,"O Pequeno Sonho","Helena Batista",2011
255,"A Terceiro Segredo","Ana Castro",2022
256,"A Velho Destino","Lívia Souza",2023
257,"A Segundo Médico","Nathalia Ferreira",2016
258,"A Quarto Amor","Sandra Santos",2021
259,"A Velho Jogador","Rebeca Monteiro",2017
260,"A Encontrado Desafio","Aline Castro",2019
261,"A Quarto Desafio","Maitê Neves",2015
262,"A Terceiro Casa","Sheila Almeida",2018
263,"A Segundo Sonho","Léo Andrade",2012
264,"A Sensasional Jogador","Viviane Cavalcanti",2013
265,"A Pequeno Destino","Sandra Braga",2012
266,"A Encontrado Imperador","Beatriz Carvalho",2016
267,"O Novo Sonho","Bianca Teixeira",2012
268,"A Novo Tesouro","Valdir Azevedo",2010
269,"O Quarto Caminho","Mônica Freitas",2019
270,"O Terceiro Destino","Valdir Rocha",2016
271,"O Velho Mestre","Rosana Ribeiro",2018
272,"O Terceiro Amor","Cássio Azevedo",2023
273,"A Grande Casa","Evelyn Marques",2021
274,"O Sensasional Casa","Felipe Castro",2022
275,"O Sensasional Filosofo","Leonardo Pinheiro",2020
276,"O Velho Casa","Rosana Araújo",2022
277,"A Novo Mestre","Sandra Mendes",2011
278,"A Encontrado Amor","Raquel Borges",2020
279,"O Sensasional Sonho","André Correia",2015
280,"A Sensasional Imperador","Juliano Marques",2023
281,"A Último Filosofo","Júlia Monteiro",2017
282,"O Quarto Tesouro","Rebeca Fonseca",2016
283,"O Grande Médico","João Barros",2017
284,"O Velho Jogador","Bianca Carvalho",2013
285,"A Primeiro Mistério","Pâmela Santos",2019
286,"A Velho Sonho","Felipe Mendes",2022
287,"A Pequeno Amor","Ricardo Sampaio",2015
288,"A Primeiro Filosofo","Priscila Rodrigues",2021
289,"O Primeiro Ditador","Lucas Araújo",2015
290,"O Novo Imperador","Clarice Cavalcanti",2011
291,"O Último Imperador","Natália Silva",2021
292,"O Terceiro Desafio","Diego Borges",2011
293,"A Grande Mistério","Tereza Mendes",2020
294,"O Terceiro Amor","Otávio Campos",2013
295,"O Encontrado Ditador","Mônica Melo",2015
296,"A Novo Mansao","Lucas Pinheiro",2013
297,"A Segundo Jogador","Stella Lima",2020
298,"A Quarto Tesouro","Camila Gomes",2013
299,"A Primeiro Caminho","Isadora Coutinho",2012
300,"O Perdido Ditador","Cássio Oliveira",2019
301,"A Perdido Imperador","Davi Pereira",2011
302,"O Último Destino","Gabriel Fonseca",2020
303,"O Quarto Jogador","Hugo Ribeiro",2019
304,"A Sensasional Amor","Gustavo Ramalho",2012
305,"A Primeiro Filosofo","Diogo Silva",2022
306,"A Novo Mistério","Isabela Pereira",2013
307,"A Novo Mansao","Eliane Batista",2017
308,"A Quarto Ditador","Igor Gomes",2019
309,"O Grande Mistério","Mariana Rodrigues",2021
310,"O Quarto Tesouro","Isaac Oliveira",2014
311,"A Primeiro Casa","Yasmin Oliveira",2023
312,"O Pequeno Caminho","João Dias",2012
313,"O Quarto Jogador","Isadora Pereira",2011
314,"O Velho Caminho","Aline Cardoso",2010
315,"O Quarto Imperador","Erick Almeida",2022
316,"A Último Imperador","Diogo Borges",2017
317,"A Primeiro Ditador","Cristina Correia",2016
318,"O Sensasional Desafio","Rebeca Nunes",2016
319,"A Velho Desafio","Amanda Braga",2010
320,"A Pequeno Segredo","Diego Rodrigues",2013
321,"A Encontrado Mestre","Roberta Gomes",2023
322,"A Primeiro Mistério","Helena Andrade",2022
323,"O Perdido Médico","Isadora Moura",2020
324,"A Novo Desafio","Isadora Pinheiro",2013
325,"A Perdido Imperador","Fernanda Monteiro",2018
326,"A Quarto Amor","Raul Ferreira",2022
327,"A Último Tesouro","Gabriela Machado",2017
328,"A Perdido Filosofo","Gabriela Neves",2016
329,"A Encontrado Filosofo","Antônio Lopes",2022
330,"O Sensasional Caminho","Lívia Neves",2010
331,"O Segundo Mestre","Aline Borges",2013
332,"O Encontrado Destino","Gustavo Monteiro",2020
333,"A Sensasional Ditador","Geraldo Medeiros",2017
334,"A Velho Destino","Fábio Castro",2015
335,"A Pequeno Segredo","Yasmin Freitas",2011
336,"A Novo Sonho","Diogo Sampaio",2014
337,"A Perdido Caminho","Rosana Moura",2023
338,"O Primeiro Amor","Priscila Braga",2014
339,"O Perdido Sonho","Nathalia Souza",2020
340,"A Terceiro Casa","Júlia Cardoso",2017
341,"O Encontrado Tesouro","Hugo Melo",2023
342,"O Sensasional Segredo","Luiza Pereira",2014
343,"O Grande Destino","Francisco Oliveira",2014
344,"A Pequeno Filosofo","Elias Campos",2012
345,"O Encontrado Ditador","Gustavo Souza",2021
346,"O Terceiro Destino","Vanessa Cavalcanti",2011
347,"A Sensasional Filosofo","Paulo Gomes",2010
348,"A Último Casa","Carlos Castro",2018
349,"A Primeiro Destino","Juliano Carvalho",2022
350,"O Primeiro Amor","Gustavo Cardoso",2018
351,"A Sensasional Casa","Léo Rocha",2012
352,"A Grande Segredo","Iris Mendes",2015
353,"O Primeiro Segredo","Valdir Lima",2023
354,"O Segundo Destino","Elaine Cardoso",2010
355,"O Sensasional Destino","Carolina Souza",2016
356,"A Velho Casa","Rafael Machado",2023
357,"O Terceiro Amor","Tereza Carvalho",2022
358,"O Terceiro Destino","Júlia Tavares",2014
359,"A Grande Desafio","Isadora Ferreira",2019
360,"A Perdido Sonho","Vitória Azevedo",2019
361,"O Quarto Destino","Gabriel Araújo",2020
362,"A Quarto Desafio","Débora Marques",2023
363,"A Quarto Médico","Patrícia Medeiros",2021
364,"O Sensasional Mistério","Otávio Coutinho",2016
365,"A Grande Mistério","Marcela Almeida",2013
366,"O Pequeno Amor","Geraldo Silva",2012
367,"A Quarto Mistério","Cristina Almeida",2018
368,"A Sensasional Ditador","Fernanda Ramalho",2015
369,"O Novo Amor","Hugo Lopes",2010
370,"A Encontrado Mestre","Luiza Machado",2023
371,"O Último Médico","Maurício Martins",2011
372,"A Pequeno Tesouro","Thiago Lima",2020
373,"A Último Segredo","Gustavo Carvalho",2011
374,"A Novo Mansao","Eliane Fonseca",2013
375,"O Último Caminho","Larissa Neves",2017
376,"A Primeiro Segredo","Vitória Ribeiro",2016
377,"A Primeiro Jogador","Eduardo Medeiros",2023
378,"A Terceiro Jogador","Hugo Rocha",2020
379,"A Encontrado Destino","Viviane Souza",2010
380,"O Grande Médico","Roberta Nunes",2010
381,"A Terceiro Jogador","Maurício Silva",2010
382,"O Perdido Mistério","Vanessa Costa",2012
383,"O Grande Desafio","Sheila Tavares",2014
384,"A Perdido Médico","Patrícia Barros",2014
385,"O Último Destino","Rebeca Dias",2014
386,"O Grande Amor","Clarice Nunes",2013
387,"A Último Ditador","Marcela Dias",2013
388,"O Sensasional Casa","Mônica Leal",2021
389,"O Sensasional Caminho","Samuel Barros",2016
390,"A Encontrado Médico","Lauro Costa",2018
391,"O Segundo Mansao","André Costa",2017
392,"O Sensasional Mestre","Raul Andrade",2022
393,"O Primeiro Mistério","Adriana Correia",2020
394,"A Sensasional Tesouro","Fábio Fonseca",2017
395,"O Velho Destino","Thiago Melo",2022
396,"A Pequeno Mestre","Beatriz Gomes",2021
397,"O Novo Médico","Amanda Araújo",2018
398,"O Primeiro Amor","Paula Correia",2021
399,"O Quarto Ditador","Marcelo Leal",2020
400,"A Último Amor","Ivan Barros",2012
401,"A Sensasional Mistério","Adriana Azevedo",2022
402,"O Primeiro Desafio","Igor Santos",2014
403,"O Último Segredo","Ivana Machado",2013
404,"A Novo Segredo","Gabriela Fonseca",2010
405,"O Sensasional Mestre","Elaine Souza",2021
406,"O Novo Sonho","Maria Almeida",2012
407,"A Primeiro Amor","Bruno Gomes",2020
408,"A Pequeno Mansao","Mariana Costa",2016
409,"O Velho Casa","Larissa Rocha",2020
410,"O Encontrado Casa","Nelson Sampaio",2011
411,"A Terceiro Tesouro","Lucas Braga",2022
412,"A Último Imperador","Ivan Pinheiro",2013
413,"O Quarto Filosofo","Júlia Fonseca",2013
414,"O Quarto Casa","Giovanna Cardoso",2023
415,"A Grande Destino","Beatriz Medeiros",2021
416,"A Velho Mestre","Valdir Ferreira",2017
417,"A Quarto Médico","Marcos Lopes",2010
418,"A Primeiro Tesouro","Lauro Vieira",2018
419,"A Pequeno Mestre","Roberta Dias",2011
420,"O Terceiro Destino","Gustavo Borges",2021
421,"A Novo Médico","Isaac Vieira",2021
422,"O Quarto Imperador","Gabriela Neves",2012
423,"O Quarto Mansao","Daniel Coutinho",2022
424,"O Encontrado Jogador","Léo Medeiros",2016
425,"A Segundo Sonho","Diogo Araújo",2013
426,"O Pequeno Mansao","Sérgio Barros",2013
427,"O Encontrado Caminho","Priscila Vieira",2021
428,"A Terceiro Tesouro","Ivan Medeiros",2022
429,"A Sensasional Mansao","Pâmela Fonseca",2011
430,"O Quarto Imperador","Rosana Freitas",2014
431,"O Perdido Casa","Tereza Lopes",2019
432,"O Grande Segredo","Aline Dias",2022
433,"O Grande Filosofo","Rebeca Teixeira",2011
434,"O Perdido Desafio","Bianca Tavares",2018
435,"A Último Imperador","Juliano Braga",2013
436,"O Pequeno Mistério","Fernanda Moura",2015
437,"A Novo Mansao","Evelyn Coutinho",2013
438,"A Primeiro Mestre","Marcelo Nunes",2010
439,"A Primeiro Desafio","Leonardo Oliveira",2014
440,"A Perdido Amor","Elaine Ribeiro",2016
441,"O Perdido Casa","Geraldo Braga",2012
442,"O Novo Ditador","Valdir Oliveira",2019
443,"A Último Amor","Léo Teixeira",2012
444,"O Quarto Jogador","Priscila Batista",2018
445,"O Terceiro Amor","Stella Araújo",2016
446,"O Quarto Imperador","Raul Correia",2011
447,"O Terceiro Jogador","Adriana Ribeiro",2015
448,"O Primeiro Amor","Daniel Sampaio",2012
449,"A Sensasional Jogador","Amanda Silva",2023
450,"A Velho Médico","André Dias",2018
451,"A Velho Destino","Erick Nunes",2018
452,"O Terceiro Mestre","José Carvalho",2021
453,"O Velho Segredo","Samuel Almeida",2013
454,"A Grande Mansao","Aline Braga",2011
455,"A Sensasional Mestre","Carolina Silva",2013
456,"A Sensasional Mansao","Amanda Vieira",2021
457,"A Pequeno Segredo","Paula Leal",2019
458,"O Velho Sonho","Erick Coutinho",2022
459,"A Encontrado Tesouro","Sandra Ramalho",2023
460,"O Segundo Amor","Helena Marques",2018
461,"A Último Imperador","Sérgio Campos",2023
462,"A Terceiro Filosofo","Paulo Oliveira",2020
463,"O Novo Mestre","Stella Barros",2012
464,"O Grande Sonho","Helena Lima",2016
465,"O Quarto Mistério","Otávio Monteiro",2019
466,"O Encontrado Imperador","Ana Lopes",2016
467,"A Perdido Destino","Rafael Lima",2021
468,"A Quarto Mansao","Helena Teixeira",2020
469,"O Velho Casa","Beatriz Pereira",2011
470,"A Terceiro Desafio","Isadora Teixeira",2018
471,"O Encontrado Filosofo","Júlia Oliveira",2010
472,"O Grande Médico","Samuel Melo",2011
473,"O Segundo Médico","Pedro Teixeira",2013
474,"O Sensasional Mistério","Renata Lopes",2022
475,"A Primeiro Imperador","Paulo Neves",2010
476,"A Perdido Jogador","Paulo Pereira",2011
477,"A Novo Ditador","Tatiana Costa",2022
478,"A Segundo Segredo","Camila Ramalho",2014
479,"O Quarto Mansao","Luiza Carvalho",2018
480,"O Sensasional Segredo","Léo Lima",2010
481,"A Último Amor","Eduardo Fonseca",2023
482,"O Perdido Amor","Vanessa Teixeira",2017
483,"O Primeiro Caminho","Sabrina Andrade",2020
484,"A Velho Jogador","Alice Santos",2013
485,"O Terceiro Mestre","Antônio Medeiros",2021
486,"A Velho Desafio","Carlos Almeida",2019
487,"O Novo Ditador","Nathalia Freitas",2015
488,"A Encontrado Tesouro","Clarice Pereira",2014
489,"A Primeiro Caminho","Renata Araújo",2021
490,"A Velho Mestre","Léo Ramalho",2020
491,"A Quarto Mestre","Vanessa Lima",2023
492,"O Grande Segredo","Nelson Neves",2014
493,"O Perdido Mansao","Otávio Gomes",2020
494,"A Perdido Mansao","Juliano Silva",2017
495,"A Novo Amor","Francisco Souza",2018
496,"A Primeiro Sonho","Nelson Martins",2021
497,"A Velho Jogador","Giovanna Rocha",2023
498,"O Primeiro Amor","Cristina Tavares",2013
499,"A Novo Casa","Stella Fonseca",2011
500,"A Velho Desafio","Alice Santos",2015
501,"O Encontrado Destino","Débora Teixeira",2016
502,"A Perdido Médico","Samuel Pereira",2020
503,"A Pequeno Filosofo","Cássio Barros",2017
504,"A Grande Caminho","Leonardo Almeida",2018
505,"O Perdido Casa","Luiza Oliveira",2021
506,"O Encontrado Destino","Sabrina Nunes",2014
507,"O Grande Caminho","Amanda Monteiro",2021
508,"O Terceiro Desafio","Júlia Azevedo",2010
509,"O Novo Desafio","Igor Mendes",2010
510,"O Terceiro Amor","Ricardo Moura",2021
511,"O Terceiro Filosofo","Eliane Pereira",2018
512,"A Velho Segredo","Fábio Leal",2018
513,"A Quarto Amor","Paula Andrade",2018
514,"A Primeiro Destino","Rebeca Pereira",2021
515,"A Terceiro Filosofo","Gabriela Azevedo",2016
516,"A Terceiro Destino","Helena Barros",2015
517,"A Quarto Caminho","Diogo Nunes",2023
518,"O Primeiro Médico","Aline Pires",2010
519,"O Velho Tesouro","Nelson Dias",2011
520,"O Primeiro Imperador","Renata Nunes",2010
521,"O Último Mistério","Bruno Medeiros",2012
522,"A Pequeno Mistério","Bruno Dias",2014
523,"A Quarto Sonho","Nelson Tavares",2011
524,"O Perdido Filosofo","Raul Costa",2017
525,"A Quarto Sonho","Aline Almeida",2020
526,"O Primeiro Mestre","Sônia Silva",2023
527,"O Perdido Casa","Raquel Freitas",2017
528,"O Grande Filosofo","Aline Ramalho",2018
529,"O Pequeno Destino","Sabrina Freitas",2017
530,"O Perdido Tesouro","Daniel Castro",2016
531,"A Primeiro Filosofo","Diego Rocha",2021
532,"O Pequeno Amor","Stella Tavares",2012
533,"A Terceiro Segredo","Renata Ribeiro",2021
534,"A Velho Mansao","Nicole Teixeira",2010
535,"A Primeiro Caminho","Rafael Mendes",2014
536,"O Terceiro Tesouro","Vitória Martins",2014
537,"O Pequeno Mestre","Ivan Batista",2011
538,"O Pequeno Jogador","Raquel Tavares",2022
539,"A Novo Médico","Daniel Nunes",2022
540,"A Grande Mestre","Marcela Ferreira",2021
541,"A Grande Imperador","Carolina Oliveira",2017
542,"O Segundo Sonho","Cássio Rocha",2015
543,"O Encontrado Filosofo","Renata Teixeira",2011
544,"O Último Sonho","Diogo Moura",2010
545,"A Quarto Médico","Geraldo Carvalho",2014
546,"A Perdido Filosofo","Bianca Batista",2012
547,"O Primeiro Segredo","Beatriz Dias",2012
548,"O Primeiro Amor","Sérgio Cavalcanti",2023
549,"O Último Ditador","Débora Andrade",2010
550,"O Velho Jogador","Gabriela Martins",2018
551,"O Pequeno Segredo","Mônica Freitas",2016
552,"O Último Filosofo","Vanessa Borges",2018
553,"O Primeiro Desafio","José Azevedo",2021
554,"O Grande Mestre","Pedro Mendes",2019
555,"O Novo Desafio","Amanda Mendes",2010
556,"A Encontrado Mistério","Fernanda Vieira",2011
557,"A Encontrado Mansao","Giovanna Lopes",2018
558,"A Pequeno Médico","Larissa Souza",2016
559,"A Velho Destino","Pedro Vieira",2013
560,"A Terceiro Mistério","Ivan Barros",2023
